week_start,brand,region,search_index,sov_pct,search_wow_pct,search_mom_pct,search_yoy_pct,season_label,season_week_num
2023-04-30,new_balance,korea,18.0,10.8434,0.0,-5.2632,,SS23,8
2023-05-07,nike,global,28.0,37.3333,0.0,-9.6774,,SS23,9
2023-05-07,nike,korea,89.0,58.1699,-10.101,-6.3158,,SS23,9
2023-05-07,adidas,global,36.0,48.0,-2.7027,0.0,,SS23,9
2023-05-07,adidas,korea,39.0,25.4902,-4.878,18.1818,,SS23,9
2023-05-07,puma,global,6.0,8.0,0.0,0.0,,SS23,9
2023-05-07,puma,korea,8.0,5.2288,0.0,0.0,,SS23,9
2023-05-07,new_balance,global,5.0,6.6667,0.0,-16.6667,,SS23,9
2023-05-07,new_balance,korea,17.0,11.1111,-5.5556,-10.5263,,SS23,9
2023-05-14,nike,global,28.0,38.3562,0.0,-6.6667,,SS23,10
2023-05-14,nike,korea,82.0,56.1644,-7.8652,-13.6842,,SS23,10
2023-05-14,adidas,global,34.0,46.5753,-5.5556,-2.8571,,SS23,10
2023-05-14,adidas,korea,38.0,26.0274,-2.5641,11.7647,,SS23,10
2023-05-14,puma,global,6.0,8.2192,0.0,0.0,,SS23,10
2023-05-14,puma,korea,9.0,6.1644,12.5,28.5714,,SS23,10
2023-05-14,new_balance,global,5.0,6.8493,0.0,0.0,,SS23,10
2023-05-14,new_balance,korea,17.0,11.6438,0.0,0.0,,SS23,10
2023-05-21,nike,global,25.0,36.2319,-10.7143,-13.7931,,SS23,11
2023-05-21,nike,korea,79.0,56.8345,-3.6585,-17.7083,,SS23,11
2023-05-21,adidas,global,33.0,47.8261,-2.9412,-5.7143,,SS23,11
2023-05-21,adidas,korea,37.0,26.6187,-2.6316,5.7143,,SS23,11
2023-05-21,puma,global,6.0,8.6957,0.0,0.0,,SS23,11
2023-05-21,puma,korea,9.0,6.4748,0.0,0.0,,SS23,11
2023-05-21,new_balance,global,5.0,7.2464,0.0,0.0,,SS23,11
2023-05-21,new_balance,korea,14.0,10.0719,-17.6471,-22.2222,,SS23,11
2023-05-28,nike,global,26.0,35.6164,4.0,-7.1429,,SS23,12
2023-05-28,nike,korea,77.0,54.2254,-2.5316,-22.2222,,SS23,12
2023-05-28,adidas,global,35.0,47.9452,6.0606,-5.4054,,SS23,12
2023-05-28,adidas,korea,40.0,28.169,8.1081,-2.439,,SS23,12
2023-05-28,puma,global,7.0,9.589,16.6667,16.6667,,SS23,12
2023-05-28,puma,korea,10.0,7.0423,11.1111,25.0,,SS23,12
2023-05-28,new_balance,global,5.0,6.8493,0.0,0.0,,SS23,12
2023-05-28,new_balance,korea,15.0,10.5634,7.1429,-16.6667,,SS23,12
2023-06-04,nike,global,24.0,33.8028,-7.6923,-14.2857,,SS23,13
2023-06-04,nike,korea,75.0,55.1471,-2.5974,-15.7303,,SS23,13
2023-06-04,adidas,global,37.0,52.1127,5.7143,2.7778,,SS23,13
2023-06-04,adidas,korea,37.0,27.2059,-7.5,-5.1282,,SS23,13
2023-06-04,puma,global,6.0,8.4507,-14.2857,0.0,,SS23,13
2023-06-04,puma,korea,8.0,5.8824,-20.0,0.0,,SS23,13
2023-06-04,new_balance,global,4.0,5.6338,-20.0,-20.0,,SS23,13
2023-06-04,new_balance,korea,16.0,11.7647,6.6667,-5.8824,,SS23,13
2023-06-11,nike,global,23.0,33.3333,-4.1667,-17.8571,,SS23,14
2023-06-11,nike,korea,78.0,57.3529,4.0,-4.878,,SS23,14
2023-06-11,adidas,global,36.0,52.1739,-2.7027,5.8824,,SS23,14
2023-06-11,adidas,korea,36.0,26.4706,-2.7027,-5.2632,,SS23,14
2023-06-11,puma,global,6.0,8.6957,0.0,0.0,,SS23,14
2023-06-11,puma,korea,9.0,6.6176,12.5,0.0,,SS23,14
2023-06-11,new_balance,global,4.0,5.7971,0.0,-20.0,,SS23,14
2023-06-11,new_balance,korea,13.0,9.5588,-18.75,-23.5294,,SS23,14
2023-06-18,nike,global,23.0,34.3284,0.0,-8.0,,SS23,15
2023-06-18,nike,korea,75.0,56.391,-3.8462,-5.0633,,SS23,15
2023-06-18,adidas,global,34.0,50.7463,-5.5556,3.0303,,SS23,15
2023-06-18,adidas,korea,36.0,27.0677,0.0,-2.7027,,SS23,15
2023-06-18,puma,global,6.0,8.9552,0.0,0.0,,SS23,15
2023-06-18,puma,korea,9.0,6.7669,0.0,0.0,,SS23,15
2023-06-18,new_balance,global,4.0,5.9701,0.0,-20.0,,SS23,15
2023-06-18,new_balance,korea,13.0,9.7744,0.0,-7.1429,,SS23,15
2023-06-25,nike,global,24.0,33.8028,4.3478,-7.6923,,SS23,16
2023-06-25,nike,korea,73.0,55.303,-2.6667,-5.1948,,SS23,16
2023-06-25,adidas,global,37.0,52.1127,8.8235,5.7143,,SS23,16
2023-06-25,adidas,korea,36.0,27.2727,0.0,-10.0,,SS23,16
2023-06-25,puma,global,6.0,8.4507,0.0,-14.2857,,SS23,16
2023-06-25,puma,korea,9.0,6.8182,0.0,-10.0,,SS23,16
2023-06-25,new_balance,global,4.0,5.6338,0.0,-20.0,,SS23,16
2023-06-25,new_balance,korea,14.0,10.6061,7.6923,-6.6667,,SS23,16
2023-07-02,nike,global,59.0,50.8621,145.8333,145.8333,,SS23,17
2023-07-02,nike,korea,71.0,56.3492,-2.7397,-5.3333,,SS23,17
2023-07-02,adidas,global,36.0,31.0345,-2.7027,-2.7027,,SS23,17
2023-07-02,adidas,korea,33.0,26.1905,-8.3333,-10.8108,,SS23,17
2023-07-02,puma,global,10.0,8.6207,66.6667,66.6667,,SS23,17
